intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
1553412;2018;1;1;40;0;79;4;2;12000;1;8;5;10;2.677;4.516;8447.554859884069;1;3;1938
1554071;2018;3;1;45;0;39;3;1;NA;NA;8;6;10;0.728;0.499;933.4211415150909;1;6;1978
1554195;2018;1;1;38;0;54;2;1;NA;NA;9;3;7;0.296;0.542;1013.8562298620828;1;6;1963
1555331;2017;12;1;50;0;33;2;NA;NA;NA;1;2;7;0.534;3.774;7059.581940035979;2;8;1984
1557527;2017;12;1;41;0;32;2;1;NA;NA;11;7;10;0.445;0.201;375.98727343593845;1;11;1985
1559457;2018;3;1;50;0;28;2;2;12000;1;8;6;8;0.267;0.528;987.6680615630622;1;11;1989
1561724;2017;12;1;22;0;37;2;1;NA;NA;3;5;7;1.338;4.742;8870.306719568258;1;6;1980
1563975;2017;12;1;40;0;39;5;1;NA;NA;10;6;8;1.145;1.116;2087.571130121927;1;6;1978
1565583;2018;2;1;66;0;56;3;1;NA;NA;9;7;10;1.338;1.066;1994.0419576254249;1;8;1961
1566941;2018;1;1;42;0;36;2;4;12340;1;8;4;4;1.338;2.234;4178.883427143714;1;7;1981
1569410;2017;12;1;41;0;27;2;1;12000;1;9;1;1;1.145;1.466;2742.2753375974416;1;8;1990
1569525;2018;3;1;43;0;33;2;2;12000;1;11;7;10;1.338;0.671;1255.1614949030584;2;11;1984
1580170;2017;12;0;39;0;53;2;1;NA;NA;3;4;7;0.296;0.256;478.8693631820908;2;5;1964
1586051;2017;12;0;42;0;49;2;2;12000;1;5;4;4;0.267;0.335;626.6454557265641;1;4;1968
1587274;2018;1;0;39;0;55;2;1;NA;NA;5;6;8;0.534;0.638;1193.4322410553668;2;4;1962
1590129;2017;12;0;40;0;41;2;2;12000;1;6;4;9;0.267;0.634;1185.9499072556466;2;4;1976
1590281;2018;1;0;45;0;42;2;1;NA;NA;6;3;9;0.534;0.663;1240.196827303618;1;9;1975
1597026;2018;1;0;40;0;46;6;2;12000;1;8;5;5;0.267;0.394;737.0098792724366;1;7;1971
1597748;2018;1;0;52;0;35;5;1;NA;NA;8;4;4;0.534;0.863;1614.3135172896261;2;6;1982
1601499;2017;12;0;33;0;62;1;1;NA;NA;9;3;3;0.728;1.562;2921.8513487907258;2;6;1955
1603199;2018;1;0;28;0;63;3;1;NA;NA;9;3;5;0.728;0.452;845.503719368379;2;7;1954
1604764;2017;12;0;29;0;61;2;1;NA;NA;12;4;9;0.296;0.21;392.8225244853088;2;11;1956
1604944;2018;1;0;45;0;58;2;1;NA;NA;12;3;9;0.267;0.356;665.927708175095;1;12;1959
1611757;2017;12;0;35;0;44;1;1;NA;NA;14;7;10;0.534;1.119;2093.182880471717;2;10;1973
1619930;2017;12;0;30;0;64;4;1;NA;NA;1;4;6;0.296;0.226;422.7518596841895;1;7;1953
1624983;2017;12;0;40;0;53;2;1;NA;NA;7;6;8;0.728;0.507;948.3858091145313;2;12;1964
1630499;2018;1;0;20;1;53;2;1;NA;NA;9;1;1;0.296;0.209;390.9519410353788;2;12;1964
1631608;2018;1;0;30;1;49;1;1;NA;NA;9;3;3;0.728;1.393;2605.7227457525482;1;4;1968
1635258;2018;2;0;25;0;60;2;2;12000;1;14;3;7;0.267;0.209;390.9519410353788;2;12;1957
1636563;2018;1;0;50;0;40;2;NA;NA;NA;14;7;10;0.364;0.291;544.3397839296422;1;11;1977
1640558;2017;12;0;40;1;59;1;1;NA;NA;16;4;4;1;0.953;1782.6660277833298;1;3;1958
1641481;2018;1;0;38;0;53;2;1;NA;NA;11;7;10;0.296;0.248;463.9046955826504;1;12;1964
1643057;2017;12;0;41;0;51;2;1;NA;NA;1;1;7;0.728;1.253;2343.841062762342;1;3;1966
1647717;2017;12;0;40;0;39;1;1;NA;NA;3;2;3;0.802;1.888;3531.661553467919;1;7;1978
1647992;2018;1;0;45;0;54;2;1;NA;NA;4;7;10;0.534;0.208;389.0813575854487;2;9;1963
1649251;2018;1;0;40;0;48;4;3;12300;1;5;7;10;0.296;0.522;976.4445608634819;2;7;1969
1653841;2017;12;0;45;0;48;2;2;12000;1;5;6;10;0.534;0.624;1167.2440727563462;1;8;1969
1657585;2018;1;0;30;0;40;2;1;NA;NA;5;5;5;0.534;1.247;2332.6175620627628;2;6;1977
